"","fips","Warm","Cold","ppt","series","SYMBOL","SI_m","SI_ft"
"86",26009,14.8,-12.19,780.550937126804,"CHARLEVOIX","ABBA",18.6271964786475,61.1128493393948
"52",26009,14.8,-12.19,780.550937126804,"BLUE LAKE","ABBA",19.3845466320163,63.5975939370614
"188",26009,14.8,-12.19,780.550937126804,"EMMET","ABBA",19.6234054169864,64.3812513680655
"375",26009,14.8,-12.19,780.550937126804,"MENOMINEE","ABBA",19.943778640482,65.4323446210039
"460",26009,14.8,-12.19,780.550937126804,"SPRINGLAKE","ABBA",20.487899075825,67.2175166529692
"256",26009,14.8,-12.19,780.550937126804,"ISLANDLAKE","ABBA",20.7798902140873,68.1754928283705
"138",26009,14.8,-12.19,780.550937126804,"DEER PARK","ACRU",15.3853122057271,50.4767460817819
"308",26009,14.8,-12.19,780.550937126804,"KINROSS","ACRU",15.9284939493938,52.2588384166463
"172",26009,14.8,-12.19,780.550937126804,"EAST LAKE","ACRU",16.7133248115804,54.8337428201455
"121",26009,14.8,-12.19,780.550937126804,"DAWSON","ACRU",16.8259449146679,55.2032313473357
"342",26009,14.8,-12.19,780.550937126804,"LUPTON","ACRU",17.0540492091919,55.9516050170337
